system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo,NDVI_hist_mean,NDVI_hist_std,NDVI_zscore
75,41.21592140353367,-0.0434263500934705,0.2285216565096146,2025-04,Bid,1,4.0,6.676549442225362,69,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.02644436883987114,0.5002521411793907
76,36.83988764596822,-0.0383170339588793,0.2168643242568808,2025-05,Bid,1,5.0,144.26403536220127,80,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18603628834703753,0.034289161658047636,0.8990606482969509
77,31.670136776387423,0.0436314001072403,0.2601179871139003,2025-06,Bid,1,6.0,93.55118830386112,68,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16687932353201862,0.05163817973647685,1.805614838820868
78,29.370740446228893,0.0973914377967614,0.2922403971067541,2025-07,Bid,1,7.0,104.56253210441984,78,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.20645691654527756,0.12268666581223596,0.6992078559927826
79,25.946283604372045,0.1816215717486761,0.4539978280182355,2025-08,Bid,1,8.0,251.15036782515605,85,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,0.5344007570003139
80,27.288196765961423,0.1526174048812051,0.4367538785177265,2025-09,Bid,1,9.0,307.67831513476455,76,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.39827204878144595,0.12238488072809628,0.31443287363065725
81,29.339049677405004,0.1026816941679363,0.4856065665027682,2025-10,Bid,1,10.0,83.18349604390082,70,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,0.6300638587583262
82,27.186648188423877,0.0993222309293574,0.4997642213976803,2025-11,Bid,1,11.0,7.975583162221635,84,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42628887169823565,0.0705724036269663,1.041134295040067
83,24.49040722838353,0.0864930767173659,0.4683807297599318,2025-12,Bid,1,12.0,2.535342177988526,79,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.02836110047277081,1.78188227123146
84,25.07099149489761,0.065412902210969,0.4062377033412193,2026-01,Bid,1,1.0,0.0550687436604877,68,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.36267329609315063,0.057439538546204066,0.7584393668661816
85,28.669358321260574,0.0364786721223303,0.3690747351213539,2026-02,Bid,1,2.0,2.113164475434128,56,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.30347619000940657,0.05167677565181831,1.2694008920744106
86,33.95065742243185,-0.0048821080351634,0.2922459614850518,2026-03,Bid,1,3.0,2.5742967291114045,74,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23094951831293953,0.03997058760411016,1.5335387054907634
87,38.05222737612896,-0.0378478983595433,0.2632755287140104,2026-04,Bid,1,4.0,24.09015628882085,80,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.02644436883987114,1.8144779566957783
88,38.09363882836311,-0.0371953493794092,0.2147773761949768,2026-05,Bid,1,5.0,19.989755014121315,69,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18603628834703753,0.034289161658047636,0.8381974495195559
89,35.018152438507045,-0.022225705640221,0.2290140442151538,2026-06,Bid,1,6.0,109.98621587077837,80,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16687932353201862,0.05163817973647685,1.2032709324810622
0,27.95587722277581,0.0114362019930106,0.3639710568575459,2019-01,Nagpur,1,1.0,16.33892151426165,84,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3958898818673215,0.024464440394145377,-1.3047028460709917
1,33.01339338709332,-0.0421105359426229,0.3412028896568568,2019-02,Nagpur,1,2.0,6.934124777375984,86,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3903991197571501,0.03122656814685427,-1.5754606740302088
